TimeStep,Temp,PotEnergy,TotEnergy,MeanSqDisp
0,4.501769e-01,-2.741187e-04,-2.125967e-04,5.809475e-03
1,4.507077e-01,-2.741860e-04,-2.125915e-04,1.162123e-02
2,4.515920e-01,-2.742982e-04,-2.125828e-04,1.743756e-02
3,4.528292e-01,-2.744569e-04,-2.125724e-04,2.326071e-02
4,4.544180e-01,-2.746683e-04,-2.125667e-04,2.909296e-02
5,4.563559e-01,-2.749388e-04,-2.125724e-04,3.493653e-02
6,4.586398e-01,-2.752711e-04,-2.125925e-04,4.079361e-02
7,4.612654e-01,-2.756644e-04,-2.126270e-04,4.666636e-02
8,4.642281e-01,-2.761160e-04,-2.126737e-04,5.255688e-02
9,4.675217e-01,-2.766229e-04,-2.127306e-04,5.846722e-02
10,4.711382e-01,-2.771820e-04,-2.127954e-04,6.439935e-02
11,4.750671e-01,-2.777900e-04,-2.128665e-04,7.035517e-02
12,4.792946e-01,-2.784438e-04,-2.129425e-04,7.633646e-02
13,4.838028e-01,-2.791398e-04,-2.130224e-04,8.234489e-02
14,4.885682e-01,-2.798737e-04,-2.131051e-04,8.838197e-02
15,4.935609e-01,-2.806408e-04,-2.131899e-04,9.444902e-02
16,4.987427e-01,-2.814351e-04,-2.132760e-04,1.005471e-01
17,5.040657e-01,-2.822496e-04,-2.133631e-04,1.066771e-01
18,5.094710e-01,-2.830757e-04,-2.134505e-04,1.128393e-01
19,5.148875e-01,-2.839034e-04,-2.135379e-04,1.190339e-01
20,5.202316e-01,-2.847210e-04,-2.136252e-04,1.252603e-01
21,5.254084e-01,-2.855153e-04,-2.137120e-04,1.315175e-01
22,5.303136e-01,-2.862717e-04,-2.137981e-04,1.378038e-01
23,5.348362e-01,-2.869750e-04,-2.138833e-04,1.441165e-01
24,5.388621e-01,-2.876095e-04,-2.139676e-04,1.504525e-01
25,5.422784e-01,-2.881596e-04,-2.140508e-04,1.568074e-01
26,5.449806e-01,-2.886107e-04,-2.141327e-04,1.631760e-01
27,5.468820e-01,-2.889510e-04,-2.142131e-04,1.695523e-01
28,5.479250e-01,-2.891722e-04,-2.142918e-04,1.759291e-01
29,5.480896e-01,-2.892716e-04,-2.143687e-04,1.822987e-01
30,5.473975e-01,-2.892520e-04,-2.144437e-04,1.886525e-01
31,5.459126e-01,-2.891223e-04,-2.145169e-04,1.949814e-01
32,5.437377e-01,-2.888962e-04,-2.145880e-04,2.012761e-01
33,5.410077e-01,-2.885924e-04,-2.146573e-04,2.075272e-01
34,5.378817e-01,-2.882327e-04,-2.147248e-04,2.137257e-01
35,5.345337e-01,-2.878410e-04,-2.147907e-04,2.198628e-01
36,5.311435e-01,-2.874419e-04,-2.148549e-04,2.259306e-01
37,5.278872e-01,-2.870595e-04,-2.149175e-04,2.319218e-01
38,5.249290e-01,-2.867164e-04,-2.149786e-04,2.378304e-01
39,5.224132e-01,-2.864322e-04,-2.150382e-04,2.436513e-01
40,5.204585e-01,-2.862233e-04,-2.150965e-04,2.493805e-01
41,5.191536e-01,-2.861018e-04,-2.151533e-04,2.550155e-01
42,5.185561e-01,-2.860757e-04,-2.152088e-04,2.605546e-01
43,5.186927e-01,-2.861487e-04,-2.152632e-04,2.659974e-01
44,5.195616e-01,-2.863207e-04,-2.153165e-04,2.713445e-01
45,5.211350e-01,-2.865879e-04,-2.153687e-04,2.765974e-01
46,5.233634e-01,-2.869434e-04,-2.154196e-04,2.817584e-01
47,5.261804e-01,-2.873781e-04,-2.154694e-04,2.868304e-01
48,5.295074e-01,-2.878814e-04,-2.155180e-04,2.918169e-01
49,5.332587e-01,-2.884417e-04,-2.155656e-04,2.967217e-01
50,5.373459e-01,-2.890468e-04,-2.156121e-04,3.015489e-01
51,5.416814e-01,-2.896850e-04,-2.156578e-04,3.063029e-01
52,5.461808e-01,-2.903449e-04,-2.157029e-04,3.109878e-01
53,5.507654e-01,-2.910157e-04,-2.157471e-04,3.156081e-01
54,5.553646e-01,-2.916878e-04,-2.157907e-04,3.201679e-01
55,5.599155e-01,-2.923528e-04,-2.158337e-04,3.246712e-01
56,5.643620e-01,-2.930031e-04,-2.158763e-04,3.291217e-01
57,5.686532e-01,-2.936317e-04,-2.159186e-04,3.335230e-01
58,5.727450e-01,-2.942328e-04,-2.159604e-04,3.378784e-01
59,5.766035e-01,-2.948015e-04,-2.160018e-04,3.421906e-01
60,5.802093e-01,-2.953355e-04,-2.160430e-04,3.464622e-01
61,5.835595e-01,-2.958342e-04,-2.160839e-04,3.506955e-01
62,5.866682e-01,-2.962994e-04,-2.161243e-04,3.548926e-01
63,5.895624e-01,-2.967351e-04,-2.161644e-04,3.590550e-01
