PosX,PosY,PosZ,VelX,VelY,VelZ,Speed
3.394855e+00,8.494718e+00,4.697547e+00,5.791584e-01,1.005723e+00,4.630095e-01,1.249512e+00
3.002249e+00,7.687244e-01,6.343777e+00,-4.060631e-01,-4.705610e-01,-2.118609e-01,6.566581e-01
8.530780e+00,4.513735e-03,2.700332e+00,-1.416498e+00,-4.278972e-01,-9.371996e-01,1.751544e+00
7.760832e+00,2.718155e+00,8.322426e+00,-9.842830e-01,6.644102e-01,-1.158984e+00,1.659367e+00
2.500801e+00,8.507606e+00,3.168130e-01,5.014976e-01,7.546295e-01,1.830021e-01,9.243676e-01
3.835639e+00,4.890191e-01,1.480418e-01,6.045281e-01,8.115084e-01,4.002552e-01,1.088212e+00
2.190797e+00,1.784116e+00,7.588187e-01,5.727461e-01,6.493006e-01,1.802047e-01,8.843660e-01
4.394132e-01,2.731149e+00,8.542907e+00,5.679331e-01,-1.169482e+00,-2.784416e-01,1.329574e+00
4.264979e+00,8.671066e+00,2.280761e+00,1.122516e-01,6.692360e-01,1.159495e+00,1.343468e+00
3.767489e+00,8.449877e+00,1.052466e+00,-4.385818e-01,7.288466e-01,7.274575e-01,1.119270e+00
3.349058e+00,1.115964e+00,8.135570e+00,-4.659781e-01,-5.430614e-01,7.204917e-01,1.015460e+00
2.284441e+00,4.625005e-01,1.521719e+00,-5.556345e-01,7.418351e-01,1.782365e-01,9.438312e-01
7.194630e+00,8.470371e+00,1.640331e+00,3.029393e-01,1.037860e+00,-1.183999e+00,1.603365e+00
5.714908e+00,2.130492e+00,8.043087e+00,-7.742392e-01,-5.058154e-01,-9.243018e-02,9.294294e-01
6.129653e+00,3.639419e-01,7.371471e+00,1.072380e+00,-7.353265e-01,-5.123340e-01,1.397566e+00
4.582936e+00,7.961082e+00,8.409106e+00,-1.492143e+00,-3.495951e-01,1.069448e+00,1.868804e+00
7.894139e+00,6.451633e+00,1.509967e-01,1.283169e-01,-1.299107e-01,5.602924e-01,5.892959e-01
6.668989e+00,3.324504e+00,9.669320e-01,-9.861013e-01,1.061790e+00,3.948177e-01,1.501891e+00
6.078058e+00,1.640466e+00,4.130301e-01,-1.801350e-01,1.428503e+00,3.075759e-01,1.472302e+00
5.417400e+00,8.236766e+00,1.109844e+00,1.493927e-01,3.490140e-01,1.074590e+00,1.139681e+00
7.376851e+00,8.620021e-01,8.109038e+00,9.039082e-01,2.985024e-02,-6.157278e-01,1.094103e+00
2.680580e+00,3.536092e+00,5.917734e+00,3.458849e-01,9.692817e-01,-8.979263e-02,1.033057e+00
6.488411e-01,5.703602e-01,8.161605e+00,-4.756642e-01,-9.280696e-01,1.941594e-01,1.060786e+00
1.848116e+00,1.857165e+00,7.253851e+00,8.218140e-01,-4.564812e-01,-1.058921e+00,1.416004e+00
8.912265e-01,1.196400e+00,7.140354e+00,-1.186441e+00,-3.094568e-02,6.548279e-01,1.355507e+00
3.857421e+00,3.004897e+00,6.246190e+00,5.811796e-01,3.296415e-01,9.904611e-02,6.754579e-01
2.548740e+00,1.835363e+00,8.302100e+00,-1.832713e+00,-9.992230e-01,2.032718e-01,2.097285e+00
1.880748e-01,1.778179e+00,6.606598e+00,-5.659904e-01,-4.281883e-01,1.891527e-01,7.344856e-01
2.973603e+00,4.996364e+00,1.747779e+00,1.828091e-01,7.289083e-02,-2.524817e-01,3.201238e-01
4.132607e+00,4.872075e+00,5.570437e-02,9.023109e-01,-1.656808e+00,7.738508e-01,2.039123e+00
4.706132e+00,1.398317e-01,5.540306e-01,7.036631e-01,-3.829410e-01,-5.269937e-01,9.589098e-01
4.622068e+00,2.559386e+00,5.497134e+00,1.136867e-01,-1.972634e-01,6.116529e-01,6.526537e-01
5.735455e+00,2.935114e+00,4.614523e-01,-1.638852e+00,5.430258e-01,-1.690560e+00,2.416342e+00
4.749216e+00,4.086615e+00,7.545115e-01,1.607449e+00,5.994398e-02,-4.616553e-01,1.673503e+00
5.719749e+00,3.067177e+00,2.032947e+00,3.665176e-01,8.152075e-01,8.148350e-01,1.209485e+00
3.901210e+00,5.780088e+00,6.425815e-01,-1.126140e-01,2.494959e-01,-1.523951e+00,1.548340e+00
6.461693e+00,8.041465e+00,2.386720e+00,-1.475609e+00,4.083317e-01,5.783278e-02,1.532156e+00
5.276300e+00,8.279430e+00,2.240957e+00,1.228542e+00,2.671822e-01,7.900665e-01,1.484893e+00
7.555359e+00,8.272392e+00,2.622236e+00,-6.748840e-01,-2.935130e-01,1.357161e-01,7.483563e-01
7.251193e+00,1.490260e+00,1.565117e+00,3.153905e-01,3.583435e-01,-2.053784e-01,5.196744e-01
6.687644e-02,2.727941e+00,6.933840e+00,-9.239241e-01,-4.500663e-01,1.864361e-01,1.044487e+00
8.222274e+00,4.359576e+00,8.277992e+00,-6.174810e-01,-1.376608e+00,1.180660e-01,1.513365e+00
3.009664e+00,2.595708e+00,1.306038e+00,-1.825805e-01,-1.806358e-01,7.142276e-01,7.590033e-01
3.592868e-01,3.905041e+00,1.619314e-01,-2.337490e-01,7.290462e-01,-5.686479e-01,9.536810e-01
9.497589e-01,4.799142e+00,9.063165e-01,2.068730e-01,8.715550e-01,2.416922e-01,9.278036e-01
1.129796e+00,4.927670e+00,8.297694e+00,-1.331378e+00,9.853069e-01,1.586117e-01,1.663897e+00
1.630393e+00,1.696694e+00,2.948411e+00,-2.107865e-01,-5.711447e-02,3.025546e-01,3.731384e-01
1.043337e+00,2.276865e+00,6.729112e+00,-1.640206e+00,-4.208267e-01,-1.461303e+00,2.236689e+00
1.518983e+00,5.989690e+00,6.475797e+00,-1.001582e+00,-8.154730e-01,1.118937e-01,1.296411e+00
2.789727e+00,2.410205e+00,5.368918e+00,5.761537e-02,8.801896e-02,-3.633578e-02,1.112976e-01
2.159328e+00,2.971884e+00,6.708188e+00,-1.037876e+00,7.748498e-01,-8.707739e-01,1.560713e+00
3.627145e-01,3.887725e+00,1.200170e+00,-6.033164e-01,4.450387e-01,5.877543e-01,9.526307e-01
2.895072e+00,3.845053e+00,3.587556e-01,-8.653992e-01,-1.158685e-01,3.068253e-01,9.254637e-01
3.118571e+00,4.073332e+00,6.947695e+00,4.230926e-01,-8.976688e-01,2.320896e-01,1.019158e+00
