Density,Temp,Energy,HeatCapCv,Pressure
5.000000e-01,1.042399e-01,-6.095405e+00,4.554902e+00,-3.207712e-01
5.000000e-01,1.048604e-01,-6.095667e+00,2.074885e+00,-3.314630e-01
5.000000e-01,1.033125e-01,-6.095299e+00,1.034458e+01,-3.308125e-01
5.000000e-01,1.049533e-01,-6.096369e+00,4.819725e+00,-3.080500e-01
5.000000e-01,1.049848e-01,-6.094965e+00,4.168696e+00,-3.411568e-01
5.000000e-01,1.491169e-01,-5.990414e+00,2.159057e+00,-2.539482e-01
5.000000e-01,1.491317e-01,-5.990729e+00,4.121629e+00,-2.601931e-01
5.000000e-01,1.510419e-01,-5.995610e+00,3.224061e+00,-1.739866e-01
5.000000e-01,1.495145e-01,-5.992234e+00,3.416247e+00,-2.314956e-01
5.000000e-01,1.520285e-01,-5.995500e+00,2.734320e+00,-1.978446e-01
5.000000e-01,2.043595e-01,-5.854942e+00,2.100917e+00,-2.605568e-01
5.000000e-01,2.079198e-01,-5.858551e+00,2.474043e+00,-2.181624e-01
5.000000e-01,2.038962e-01,-5.856170e+00,2.646342e+00,-2.535585e-01
5.000000e-01,2.057107e-01,-5.856460e+00,3.526889e+00,-2.416941e-01
5.000000e-01,2.029283e-01,-5.855328e+00,2.060790e+00,-2.480889e-01
5.000000e-01,2.627160e-01,-5.658784e+00,1.975486e+00,-1.530041e-01
5.000000e-01,2.623181e-01,-5.659651e+00,4.652521e+00,-1.546155e-01
5.000000e-01,2.582233e-01,-5.661269e+00,2.145103e+00,-1.087234e-01
5.000000e-01,2.580823e-01,-5.661988e+00,2.739276e+00,-1.219744e-01
5.000000e-01,2.558052e-01,-5.656853e+00,5.861700e+00,-1.888635e-01
5.000000e-01,3.089033e-01,-5.404242e+00,2.725679e+00,-1.709563e-01
5.000000e-01,3.079590e-01,-5.402958e+00,4.126088e+00,-1.982622e-01
5.000000e-01,3.013230e-01,-5.399190e+00,2.059291e+00,-2.283449e-01
5.000000e-01,3.073601e-01,-5.405551e+00,2.502297e+00,-1.176109e-01
5.000000e-01,3.025101e-01,-5.399089e+00,2.699401e+00,-2.251965e-01
5.000000e-01,3.573141e-01,-5.217368e+00,2.833226e+00,-2.204176e-01
5.000000e-01,3.528161e-01,-5.218228e+00,6.440549e+00,-1.858180e-01
5.000000e-01,3.586711e-01,-5.216464e+00,1.918212e+00,-2.291682e-01
5.000000e-01,3.573470e-01,-5.220637e+00,3.475784e+00,-1.389502e-01
5.000000e-01,3.452741e-01,-5.213539e+00,3.663052e+00,-2.332597e-01
5.000000e-01,4.221512e-01,-4.876417e+00,2.253787e+00,-1.038044e-01
5.000000e-01,4.007740e-01,-4.864249e+00,2.492474e+00,-2.319190e-01
5.000000e-01,4.087210e-01,-4.870430e+00,2.417023e+00,-1.575257e-01
5.000000e-01,4.112235e-01,-4.869903e+00,2.146524e+00,-1.371895e-01
5.000000e-01,4.134691e-01,-4.870884e+00,3.400950e+00,-1.325430e-01
5.000000e-01,4.635419e-01,-4.696886e+00,2.938005e+00,-6.133447e-02
5.000000e-01,4.502662e-01,-4.688402e+00,2.211008e+00,-1.768991e-01
5.000000e-01,4.670367e-01,-4.696946e+00,2.829702e+00,-1.163337e-01
5.000000e-01,4.568999e-01,-4.695693e+00,2.476509e+00,-8.841208e-02
5.000000e-01,4.506084e-01,-4.692343e+00,3.409981e+00,-1.273183e-01
5.000000e-01,5.068152e-01,-4.231911e+00,1.805116e+00,-1.760699e-01
5.000000e-01,4.973433e-01,-4.226630e+00,2.196110e+00,-2.682059e-01
5.000000e-01,5.084883e-01,-4.231516e+00,-2.142872e+01,-2.175020e-01
5.000000e-01,5.264307e-01,-4.242131e+00,2.601158e+00,-8.354952e-02
5.000000e-01,5.038624e-01,-4.225974e+00,4.347027e+00,-2.773090e-01
5.000000e-01,5.566759e-01,-4.051297e+00,2.378129e+00,-9.876406e-02
5.000000e-01,5.571022e-01,-4.054325e+00,2.276145e+00,-7.894166e-02
5.000000e-01,5.452678e-01,-4.048469e+00,2.002405e+00,-1.382031e-01
5.000000e-01,5.327876e-01,-4.042065e+00,2.140728e+00,-1.880218e-01
5.000000e-01,5.487137e-01,-4.044186e+00,1.919481e+00,-2.011095e-01
5.000000e-01,6.151877e-01,-3.568388e+00,2.135276e+00,-1.690963e-01
5.000000e-01,6.210712e-01,-3.571824e+00,1.824396e+00,-1.901313e-01
5.000000e-01,6.311332e-01,-3.579478e+00,2.316416e+00,-9.999970e-02
5.000000e-01,5.962236e-01,-3.560784e+00,2.331525e+00,-2.243878e-01
5.000000e-01,6.078171e-01,-3.567826e+00,3.049084e+00,-1.311729e-01
5.000000e-01,6.498752e-01,-3.327445e+00,2.194325e+00,-1.211981e-01
5.000000e-01,6.455605e-01,-3.319227e+00,2.057204e+00,-1.918100e-01
5.000000e-01,6.437506e-01,-3.319439e+00,1.954078e+00,-1.814797e-01
5.000000e-01,6.347219e-01,-3.315557e+00,2.057560e+00,-2.069807e-01
5.000000e-01,6.610435e-01,-3.329019e+00,4.459782e+00,-7.634472e-02
5.000000e-01,7.173608e-01,-3.112680e+00,1.860578e+00,-7.573331e-02
5.000000e-01,6.967396e-01,-3.105314e+00,2.225625e+00,-1.155448e-01
5.000000e-01,7.087126e-01,-3.113587e+00,1.921663e+00,-5.823616e-02
5.000000e-01,7.193784e-01,-3.118503e+00,1.820531e+00,-7.571419e-02
5.000000e-01,7.070186e-01,-3.111619e+00,1.946383e+00,-1.120171e-01
5.000000e-01,7.697136e-01,-2.764879e+00,1.865967e+00,-1.211588e-02
5.000000e-01,7.518649e-01,-2.755975e+00,1.859974e+00,-1.070359e-01
5.000000e-01,7.321837e-01,-2.753622e+00,1.769306e+00,2.518131e-04
5.000000e-01,7.261217e-01,-2.744953e+00,2.064017e+00,-1.049965e-01
5.000000e-01,7.263077e-01,-2.739383e+00,1.953495e+00,-1.543918e-01
5.000000e-01,8.180492e-01,-2.384091e+00,1.845393e+00,-2.393869e-03
5.000000e-01,8.247536e-01,-2.388073e+00,2.130057e+00,1.676304e-02
5.000000e-01,7.988517e-01,-2.377323e+00,3.056369e+00,-9.543745e-02
5.000000e-01,8.170912e-01,-2.382913e+00,1.849126e+00,-5.209046e-02
5.000000e-01,7.862630e-01,-2.372527e+00,3.424757e+00,-1.344252e-01
5.000000e-01,8.762603e-01,-2.168201e+00,1.713493e+00,-1.586595e-02
5.000000e-01,8.647532e-01,-2.169094e+00,1.808561e+00,5.652283e-02
5.000000e-01,8.824547e-01,-2.173956e+00,1.915694e+00,5.100065e-02
5.000000e-01,8.786182e-01,-2.175393e+00,2.004633e+00,3.480429e-02
5.000000e-01,8.714783e-01,-2.173592e+00,1.930639e+00,1.785706e-02
5.000000e-01,9.522203e-01,-2.119906e+00,1.973456e+00,1.748208e-01
5.000000e-01,9.138920e-01,-2.104294e+00,1.817587e+01,5.441858e-02
5.000000e-01,8.878894e-01,-2.093160e+00,1.750645e+00,6.973633e-02
5.000000e-01,8.887958e-01,-2.088207e+00,2.009331e+00,-2.063471e-02
5.000000e-01,8.706000e-01,-2.090976e+00,1.726678e+00,-2.221457e-02
5.500000e-01,1.024179e-01,-6.135958e+00,1.999145e+00,-3.363473e-01
5.500000e-01,1.032832e-01,-6.136210e+00,3.922978e+00,-3.267206e-01
5.500000e-01,1.035236e-01,-6.136005e+00,2.863513e+00,-3.347282e-01
5.500000e-01,1.035969e-01,-6.136610e+00,2.796021e+00,-3.411128e-01
5.500000e-01,1.044103e-01,-6.139875e+00,2.424928e+00,-2.835242e-01
5.500000e-01,1.550271e-01,-6.023643e+00,2.029904e+00,-3.834955e-01
5.500000e-01,1.590604e-01,-6.028814e+00,7.710071e+00,-2.562191e-01
5.500000e-01,1.543010e-01,-6.025093e+00,3.173159e+00,-3.237261e-01
5.500000e-01,1.582693e-01,-6.024484e+00,2.537544e+00,-3.363799e-01
5.500000e-01,1.567633e-01,-6.026808e+00,1.995616e+00,-2.815310e-01
5.500000e-01,2.090842e-01,-5.997564e+00,2.703365e+01,-1.807277e-01
5.500000e-01,2.097253e-01,-5.998008e+00,2.529907e+00,-1.727367e-01
5.500000e-01,2.084487e-01,-5.993516e+00,4.623604e+00,-2.705059e-01
5.500000e-01,2.065281e-01,-5.994157e+00,2.647524e+00,-2.406107e-01
5.500000e-01,2.069749e-01,-5.993805e+00,3.263548e+00,-2.649751e-01
5.500000e-01,2.524727e-01,-5.652972e+00,3.523995e+00,-4.392748e-01
5.500000e-01,2.579202e-01,-5.657217e+00,3.902617e+00,-3.768785e-01
5.500000e-01,2.561043e-01,-5.657070e+00,3.829571e+00,-3.791196e-01
5.500000e-01,2.542137e-01,-5.656223e+00,2.496532e+00,-3.917020e-01
5.500000e-01,2.589552e-01,-5.660893e+00,3.822631e+00,-3.169343e-01
5.500000e-01,3.029491e-01,-5.437867e+00,1.951645e+00,-2.447908e-01
5.500000e-01,3.012378e-01,-5.437461e+00,1.922943e+00,-2.610241e-01
5.500000e-01,3.041701e-01,-5.439779e+00,2.395615e+00,-2.510677e-01
5.500000e-01,3.137980e-01,-5.444315e+00,3.798618e+00,-1.988373e-01
5.500000e-01,3.092632e-01,-5.439907e+00,3.345625e+00,-2.710632e-01
5.500000e-01,3.678258e-01,-5.273127e+00,7.217729e+00,-1.750446e-01
5.500000e-01,3.741620e-01,-5.275241e+00,2.340416e+00,-1.682585e-01
5.500000e-01,3.809505e-01,-5.283473e+00,2.601725e+00,-3.431243e-02
5.500000e-01,3.657785e-01,-5.270587e+00,4.024523e+00,-2.070682e-01
5.500000e-01,3.688663e-01,-5.274701e+00,4.556013e+00,-1.597956e-01
