TimeStep,Temp,PotEnergy,TotEnergy,MeanSqDisp
0,8.502810e-01,-3.824909e-04,-2.662899e-04,7.984360e-03
1,8.511182e-01,-3.825948e-04,-2.662794e-04,1.597136e-02
2,8.524936e-01,-3.827653e-04,-2.662620e-04,2.396358e-02
3,8.543766e-01,-3.829982e-04,-2.662375e-04,3.196348e-02
4,8.567216e-01,-3.832872e-04,-2.662060e-04,3.997334e-02
5,8.594658e-01,-3.836237e-04,-2.661676e-04,4.799517e-02
6,8.625253e-01,-3.839965e-04,-2.661222e-04,5.603063e-02
7,8.657913e-01,-3.843910e-04,-2.660704e-04,6.408093e-02
8,8.691235e-01,-3.847890e-04,-2.660131e-04,7.214671e-02
9,8.723442e-01,-3.851686e-04,-2.659524e-04,8.022783e-02
10,8.752307e-01,-3.855018e-04,-2.658912e-04,8.832326e-02
11,8.775084e-01,-3.857533e-04,-2.658314e-04,9.643078e-02
12,8.788476e-01,-3.858801e-04,-2.657752e-04,1.045468e-01
13,8.788675e-01,-3.858321e-04,-2.657245e-04,1.126658e-01
14,8.771541e-01,-3.855535e-04,-2.656800e-04,1.207804e-01
15,8.732989e-01,-3.849881e-04,-2.656415e-04,1.288807e-01
16,8.669576e-01,-3.840892e-04,-2.656093e-04,1.369543e-01
17,8.579174e-01,-3.828274e-04,-2.655828e-04,1.449861e-01
18,8.461553e-01,-3.811983e-04,-2.655612e-04,1.529588e-01
19,8.318689e-01,-3.792291e-04,-2.655444e-04,1.608533e-01
20,8.154713e-01,-3.769755e-04,-2.655317e-04,1.686493e-01
21,7.975529e-01,-3.745178e-04,-2.655228e-04,1.763268e-01
22,7.788249e-01,-3.719536e-04,-2.655179e-04,1.838666e-01
23,7.600556e-01,-3.693878e-04,-2.655172e-04,1.912512e-01
24,7.420048e-01,-3.669241e-04,-2.655204e-04,1.984660e-01
25,7.253594e-01,-3.646563e-04,-2.655274e-04,2.054994e-01
26,7.106807e-01,-3.626612e-04,-2.655383e-04,2.123432e-01
27,6.983686e-01,-3.609931e-04,-2.655528e-04,2.189931e-01
28,6.886461e-01,-3.596820e-04,-2.655704e-04,2.254481e-01
29,6.815635e-01,-3.587343e-04,-2.655906e-04,2.317107e-01
30,6.770209e-01,-3.581359e-04,-2.656130e-04,2.377859e-01
31,6.748004e-01,-3.578565e-04,-2.656370e-04,2.436814e-01
32,6.746029e-01,-3.578547e-04,-2.656623e-04,2.494063e-01
33,6.760832e-01,-3.580830e-04,-2.656882e-04,2.549712e-01
34,6.788780e-01,-3.584913e-04,-2.657147e-04,2.603872e-01
35,6.826262e-01,-3.590305e-04,-2.657415e-04,2.656657e-01
36,6.869891e-01,-3.596539e-04,-2.657687e-04,2.708179e-01
37,6.916720e-01,-3.603212e-04,-2.657960e-04,2.758548e-01
38,6.964409e-01,-3.610002e-04,-2.658233e-04,2.807865e-01
39,7.011228e-01,-3.616674e-04,-2.658506e-04,2.856222e-01
40,7.055955e-01,-3.623059e-04,-2.658779e-04,2.903706e-01
41,7.097767e-01,-3.629046e-04,-2.659053e-04,2.950390e-01
42,7.136175e-01,-3.634571e-04,-2.659328e-04,2.996344e-01
43,7.170974e-01,-3.639602e-04,-2.659604e-04,3.041626e-01
44,7.202165e-01,-3.644143e-04,-2.659882e-04,3.086288e-01
45,7.229861e-01,-3.648210e-04,-2.660164e-04,3.130375e-01
46,7.254238e-01,-3.651824e-04,-2.660447e-04,3.173928e-01
47,7.275556e-01,-3.655021e-04,-2.660731e-04,3.216979e-01
48,7.294177e-01,-3.657849e-04,-2.661013e-04,3.259558e-01
49,7.310535e-01,-3.660365e-04,-2.661294e-04,3.301690e-01
50,7.325065e-01,-3.662633e-04,-2.661577e-04,3.343395e-01
51,7.338123e-01,-3.664706e-04,-2.661865e-04,3.384693e-01
52,7.349966e-01,-3.666614e-04,-2.662154e-04,3.425600e-01
