PosX,PosY,PosZ,VelX,VelY,VelZ,Speed
2.335083e+01,1.129206e+00,1.387370e-01,-2.551762e-01,-7.379414e-01,3.533033e-01,8.570272e-01
1.787369e+00,4.103457e-01,2.300789e+01,1.640224e+00,7.638366e-01,-2.107840e-01,1.821596e+00
1.993139e+00,2.351770e+01,2.241510e+00,-2.192854e-01,-1.171257e+00,9.007705e-01,1.493759e+00
2.926010e+00,1.121511e+00,1.300296e+00,-5.022942e-01,-4.231415e-01,-7.062498e-01,9.644360e-01
1.888318e+00,3.329865e-01,4.018128e+00,-1.572774e-01,7.021202e-01,-9.062351e-01,1.157139e+00
1.596304e+00,1.257392e+00,2.391523e+01,6.810526e-01,1.495563e-01,7.338597e-01,1.012299e+00
3.302989e+00,2.294163e+01,3.852415e+00,8.384749e-01,-3.497557e-01,-3.673451e-01,9.799550e-01
5.741853e-01,3.038420e-01,4.225043e+00,2.130963e-01,5.365819e-01,1.671951e+00,1.768828e+00
2.982023e+00,1.520776e+00,2.955115e-01,-6.176749e-01,4.535913e-01,-1.275509e+00,1.488016e+00
4.863124e+00,2.234883e+01,2.377502e+01,-3.606297e-01,2.114164e-01,-7.465144e-02,4.246452e-01
8.476594e+00,9.633867e-01,3.361888e+00,6.365666e-01,-7.496883e-02,1.157662e+00,1.323261e+00
3.436576e+00,1.250305e-01,1.582188e+00,-3.787314e-02,8.161841e-01,5.908925e-01,1.008338e+00
7.621596e+00,7.650933e-01,1.679291e+00,-8.893064e-02,-6.466865e-02,-3.655421e-03,1.100184e-01
5.367726e+00,2.364925e+01,2.248472e+01,-7.702533e-02,2.326789e-01,-5.468900e-01,5.993004e-01
7.126152e+00,2.995883e-01,7.754681e-01,6.773809e-01,-1.386848e+00,-4.930403e-01,1.620272e+00
6.064854e+00,6.967493e-01,2.337753e+01,-6.535331e-01,-5.167308e-01,4.286972e-02,8.342387e-01
8.420496e+00,2.191890e+01,2.214745e+01,7.822742e-01,-2.059856e-01,-1.198617e-02,8.090282e-01
6.744228e+00,2.382218e+01,2.378715e+01,-5.759745e-01,3.705313e-01,-1.672157e+00,1.806972e+00
6.947003e+00,2.346823e+01,1.461085e+00,-3.220074e-01,2.049243e-01,2.040347e-01,4.327966e-01
6.830280e+00,1.564516e+00,2.242701e+01,-7.312259e-01,-2.014241e+00,-2.749146e-02,2.143039e+00
8.282817e+00,2.386067e+01,1.463197e+00,-1.274432e-01,-6.350160e-02,8.793588e-01,8.908120e-01
9.341305e+00,1.121300e+00,2.249714e+01,-3.107121e-01,-1.694251e+00,-2.411275e-01,1.739302e+00
7.958074e+00,1.399791e+00,2.304643e+01,-1.828598e+00,-1.056601e+00,-3.351417e-01,2.138339e+00
7.391249e+00,2.566638e-03,2.200021e+01,1.686673e+00,-5.813306e-01,-8.233874e-01,1.964886e+00
9.957306e+00,2.198467e+01,2.344575e+01,7.721024e-01,2.686280e-02,-3.693107e-02,7.734517e-01
1.126390e+01,4.936816e-02,1.951883e+00,9.311320e-02,-9.877804e-01,-1.060377e+00,1.452164e+00
1.266713e+01,2.302978e+01,3.545617e+00,-7.683562e-02,2.530558e-01,2.586820e-01,3.699423e-01
9.278043e+00,4.388884e-01,1.355048e+00,-9.618379e-01,8.123497e-01,8.669843e-01,1.528629e+00
9.252515e+00,1.929786e-01,2.200569e+01,-6.014219e-02,-1.372320e-01,5.182298e-02,1.585413e-01
1.248564e+01,9.484805e-01,1.948174e-01,7.615810e-01,1.571256e-01,5.530975e-01,9.542593e-01
1.094972e+01,2.218464e+01,7.545266e-01,-8.859917e-01,3.546800e-01,8.375975e-01,1.269783e+00
9.971113e+00,3.499742e+00,1.502912e+00,1.472316e+00,-2.696967e-01,-7.053217e-02,1.498474e+00
1.281842e+01,2.167929e+01,1.889049e-01,-1.269890e+00,3.755721e-01,-5.306649e-02,1.325327e+00
1.292421e+01,1.774697e+00,1.011089e+00,-2.819196e-01,-4.936535e-01,-1.061063e-01,5.783001e-01
1.111423e+01,1.202379e+00,7.170350e-01,4.373294e-01,4.554431e-01,-6.937761e-01,9.380889e-01
1.241031e+01,2.033889e+00,2.218175e+01,1.498280e+00,1.008262e-01,-1.760351e-01,1.511952e+00
1.567934e+01,2.067644e+00,2.332647e+01,7.146477e-01,9.392444e-01,-7.474419e-02,1.182577e+00
1.532625e+01,2.988164e+00,2.380312e+01,-1.689986e+00,5.397838e-01,1.725676e-01,1.782470e+00
1.526742e+01,2.895737e+00,2.274464e+01,1.147172e+00,1.650312e-01,7.923181e-01,1.403926e+00
1.547332e+01,1.507780e+00,3.680449e-01,2.025995e-01,-1.731377e-01,-5.147111e-01,5.796125e-01
1.826506e+01,2.903833e+00,2.099385e+01,-1.508398e+00,-6.218746e-01,-8.041151e-01,1.818954e+00
1.981791e+01,3.816952e+00,2.292006e+01,-1.562010e-01,1.133329e+00,1.326768e-01,1.151710e+00
1.733350e+01,1.040660e+00,1.846301e+00,-4.432789e-01,-1.322386e+00,7.290280e-01,1.573748e+00
1.702692e+01,2.715154e+00,1.078588e+00,3.174778e-01,-3.745809e-01,-9.219541e-02,4.996028e-01
1.940639e+01,2.293597e+01,2.311722e+01,4.323823e-01,-2.608636e-01,-1.348467e+00,1.439919e+00
1.698611e+01,5.085057e-01,2.253850e+01,1.120250e+00,-6.636003e-01,-5.955190e-01,1.431771e+00
2.060075e+01,2.375566e+01,1.689353e+00,2.480997e-01,1.432061e-02,-9.363353e-01,9.687530e-01
1.791909e+01,3.511726e+00,8.754318e-02,1.966415e+00,4.701469e-01,-8.996149e-01,2.212947e+00
1.945396e+01,1.879937e+00,2.393447e+01,1.341802e+00,6.384502e-01,-1.081426e+00,1.837807e+00
2.174547e+01,2.234286e+01,4.945499e-01,1.339914e+00,-9.590049e-01,4.608542e-01,1.710979e+00
2.123633e+01,2.167163e+01,1.086720e+00,-5.641399e-01,3.291012e-01,9.665048e-01,1.166487e+00
1.877367e+01,3.990667e-01,4.135009e-01,-1.890824e-01,3.792085e-01,-7.276857e-01,8.420675e-01
2.315906e+01,1.179668e+00,2.281565e+01,-1.397957e-01,-1.186568e+00,-2.630912e-01,1.223398e+00
5.418747e-01,1.079443e+00,2.551747e-01,3.140184e-01,-3.364357e-01,7.449600e-03,4.602739e-01
2.041095e+01,2.082963e+01,9.129938e-01,-1.000733e+00,-8.072412e-01,1.214038e-01,1.291450e+00
2.331857e+01,4.502082e-01,1.241820e+00,2.034312e-01,1.908140e-01,1.843090e-01,3.343113e-01
2.288572e+01,3.377050e+00,2.016817e+00,4.779486e-01,-1.042719e+00,-6.871479e-01,1.337112e+00
2.354587e+01,3.027455e+00,1.116955e+00,-4.107811e-01,-1.466444e+00,4.282363e-01,1.581956e+00
1.498174e+00,7.408207e-01,1.711908e+00,-8.283148e-01,-9.757742e-01,1.263459e+00,1.798491e+00
2.301555e+01,2.242220e+01,1.728138e+00,-5.775410e-01,-1.065548e+00,-4.165578e-01,1.281588e+00
5.927207e-01,2.660438e+00,1.777965e+00,-7.339393e-01,9.367052e-01,9.169065e-01,1.502265e+00
3.809486e+00,9.710431e-01,2.375118e+01,1.272220e-01,1.124659e+00,6.834468e-01,1.322174e+00
3.872405e+00,1.041517e+00,3.394876e+00,4.533112e-01,-1.655838e-01,-1.144443e+00,1.242038e+00
4.696218e+00,5.066120e+00,1.683042e+00,-2.679864e-01,-2.822523e-01,-1.471960e+00,1.522547e+00
4.527904e+00,1.884909e+00,2.336020e+01,4.930221e-01,3.654646e-01,-4.120752e-01,7.392166e-01
1.319220e+00,1.903820e+00,2.197861e+00,-6.401794e-01,1.469276e+00,-5.200520e-01,1.684950e+00
1.304301e+00,2.392744e+01,3.240272e+00,1.239597e+00,-5.898782e-01,2.328658e-01,1.392402e+00
4.265565e+00,3.823648e+00,3.634681e+00,1.471793e-01,3.372958e-01,1.161958e+00,1.218843e+00
6.011365e+00,8.491867e-01,2.224780e+01,3.779019e-01,7.811653e-01,1.811807e+00,2.008898e+00
7.958839e+00,3.280645e+00,2.377540e+01,-6.626353e-01,-7.856925e-02,-1.139977e+00,1.320912e+00
8.471582e+00,4.281019e+00,2.324055e-01,1.902124e-01,1.260921e+00,-1.044912e+00,1.648619e+00
4.148513e+00,2.324185e+01,1.816085e+00,6.370554e-01,-1.728679e-01,-3.736714e-01,7.585204e-01
7.033560e+00,2.288381e+00,2.665720e-01,9.084495e-01,7.229284e-01,-8.633072e-01,1.446791e+00
9.836663e+00,3.478145e+00,2.242957e+01,-6.674476e-01,-1.314775e-01,3.147003e-01,7.495392e-01
7.425889e+00,2.401496e+00,2.319654e+01,1.208465e+00,-4.322185e-01,3.608236e-01,1.333190e+00
7.186051e+00,4.681908e+00,2.152230e+01,-1.243091e-01,1.128776e+00,6.156603e-01,1.291753e+00
8.910985e+00,1.030865e+00,2.354225e+01,-9.080584e-01,8.593742e-01,1.117361e+00,1.676779e+00
7.995412e+00,2.882157e+00,7.526877e-01,-7.218009e-01,1.510895e-02,-2.464044e-01,7.628499e-01
9.724207e+00,1.828162e+00,2.328811e+01,3.826855e-01,8.560225e-01,-7.614673e-01,1.207914e+00
1.059731e+01,2.662490e+00,2.194209e+00,-5.139257e-01,-3.101901e-01,5.086339e-01,7.867947e-01
1.039235e+01,3.997770e-01,6.757185e-01,-1.903873e+00,-2.500051e-01,-4.730644e-01,1.977631e+00
1.309091e+01,2.477646e+00,1.829631e+00,1.901970e+00,4.525292e-01,4.438821e-01,2.004820e+00
8.766168e+00,2.386528e+01,1.555013e-01,1.486382e-01,-4.819312e-01,-7.791817e-01,9.281569e-01
1.125861e+01,1.996847e+00,2.212203e+01,1.406349e-01,-4.591270e-01,-8.948149e-02,4.884493e-01
1.061848e+01,3.238677e+00,2.084837e+01,-1.465599e-01,1.225626e+00,-6.466953e-01,1.393504e+00
1.066790e+01,2.083402e+00,2.377952e+01,2.985891e-01,-3.401000e-01,2.345269e-01,5.097316e-01
