PosX,PosY,PosZ,VelX,VelY,VelZ,Speed
1.071393e-01,9.532293e-03,6.718133e-01,-7.681828e-02,-5.752694e-01,-5.917415e-01,8.288509e-01
1.996842e-01,7.982506e-01,8.396891e+00,-2.351163e-01,-6.107880e-01,2.090588e-01,6.870570e-01
8.102402e-01,6.294451e-02,1.551878e+00,7.650875e-01,-1.434182e-01,3.282635e-02,7.791055e-01
8.347256e+00,1.073300e+00,9.124930e-01,-2.189674e-01,8.285448e-02,-1.040029e-01,2.561800e-01
9.538015e-01,8.537180e+00,8.493027e+00,5.468609e-03,1.155562e-01,-2.775156e-01,3.006627e-01
2.669882e+00,8.660299e-01,7.809434e+00,-3.343289e-01,7.516997e-01,-3.142660e-01,8.806766e-01
2.535439e+00,1.845380e-02,4.542604e-02,-5.000352e-01,-1.045947e-01,-1.757687e-01,5.402499e-01
1.790123e+00,8.694673e-01,8.539553e+00,3.587653e-01,-1.930170e-01,1.643520e-01,4.392945e-01
4.183794e+00,8.537810e+00,9.252023e-03,5.577068e-01,1.969034e-01,-6.730980e-01,8.960294e-01
5.010867e+00,8.451210e-01,9.996874e-02,-9.664822e-02,4.390655e-01,3.398735e-01,5.635897e-01
4.913078e+00,2.044883e-03,8.644006e-01,2.177946e-01,-8.598277e-01,-6.426169e-01,1.095306e+00
3.391594e+00,8.425989e-01,3.127994e-02,-5.152757e-01,-1.949682e-02,4.153970e-01,6.621509e-01
5.824620e+00,1.397590e-02,1.307319e-01,-8.704279e-02,1.258691e-01,-2.898666e-01,3.277837e-01
6.590875e+00,8.021326e-01,1.788107e-01,-1.628031e-02,-3.543383e-02,-4.384879e-01,4.402184e-01
6.479410e+00,8.507371e+00,1.040130e+00,-3.255940e-01,7.343235e-02,2.443155e-01,4.136349e-01
5.721242e+00,7.935944e-01,8.996594e-01,-1.938562e-01,-3.569794e-01,1.067470e-01,4.200112e-01
6.907529e+00,8.250575e+00,8.503218e+00,-6.499632e-02,-8.084856e-02,-2.071984e-01,2.317158e-01
7.640864e+00,9.977234e-01,3.656427e-02,1.658098e-01,-4.664616e-02,-3.753007e-02,1.762874e-01
7.619049e+00,8.406895e+00,8.389831e-01,-2.699934e-01,1.209114e-02,6.576431e-02,2.781503e-01
7.252539e+00,7.888937e-01,1.128485e+00,5.490943e-01,-1.137263e-01,1.630269e-01,5.839657e-01
8.398290e+00,1.862466e+00,7.382301e-02,2.678138e-01,-5.082079e-01,6.482243e-01,8.661375e-01
