TimeStep,Temp,PotEnergy,TotEnergy,MeanSqDisp
0,9.945371e-02,-1.605682e-02,-1.575846e-02,2.738613e-03
1,9.782760e-02,-1.605193e-02,-1.575845e-02,5.462244e-03
2,9.516078e-02,-1.604422e-02,-1.575873e-02,8.155988e-03
3,9.151906e-02,-1.603391e-02,-1.575935e-02,1.080511e-02
4,8.699394e-02,-1.602116e-02,-1.576017e-02,1.339517e-02
5,8.170153e-02,-1.600621e-02,-1.576111e-02,1.591211e-02
6,7.578088e-02,-1.598942e-02,-1.576208e-02,1.834239e-02
7,6.939145e-02,-1.597121e-02,-1.576304e-02,2.067314e-02
8,6.270949e-02,-1.595210e-02,-1.576397e-02,2.289231e-02
9,5.592314e-02,-1.593264e-02,-1.576487e-02,2.498884e-02
10,4.922641e-02,-1.591339e-02,-1.576571e-02,2.695285e-02
11,4.281201e-02,-1.589492e-02,-1.576649e-02,2.877581e-02
12,3.686347e-02,-1.587780e-02,-1.576721e-02,3.045072e-02
13,3.154698e-02,-1.586250e-02,-1.576786e-02,3.197228e-02
14,2.700354e-02,-1.584945e-02,-1.576844e-02,3.333702e-02
15,2.334218e-02,-1.583898e-02,-1.576896e-02,3.454338e-02
16,2.063480e-02,-1.583132e-02,-1.576941e-02,3.559183e-02
17,1.891330e-02,-1.582654e-02,-1.576980e-02,3.648480e-02
18,1.816911e-02,-1.582464e-02,-1.577013e-02,3.722671e-02
19,1.835538e-02,-1.582547e-02,-1.577040e-02,3.782381e-02
20,1.939129e-02,-1.582880e-02,-1.577063e-02,3.828411e-02
21,2.116827e-02,-1.583431e-02,-1.577080e-02,3.861709e-02
22,2.355734e-02,-1.584160e-02,-1.577092e-02,3.883358e-02
23,2.641692e-02,-1.585025e-02,-1.577100e-02,3.894540e-02
24,2.960052e-02,-1.585984e-02,-1.577104e-02,3.896515e-02
25,3.296379e-02,-1.586993e-02,-1.577104e-02,3.890588e-02
26,3.637058e-02,-1.588013e-02,-1.577101e-02,3.878080e-02
27,3.969775e-02,-1.589005e-02,-1.577095e-02,3.860296e-02
28,4.283878e-02,-1.589939e-02,-1.577087e-02,3.838500e-02
29,4.570612e-02,-1.590790e-02,-1.577078e-02,3.813882e-02
30,4.823246e-02,-1.591537e-02,-1.577068e-02,3.787537e-02
31,5.037101e-02,-1.592168e-02,-1.577057e-02,3.760440e-02
32,5.209506e-02,-1.592674e-02,-1.577045e-02,3.733429e-02
33,5.339684e-02,-1.593055e-02,-1.577035e-02,3.707192e-02
34,5.428590e-02,-1.593313e-02,-1.577027e-02,3.682259e-02
35,5.478714e-02,-1.593454e-02,-1.577018e-02,3.658999e-02
36,5.493853e-02,-1.593492e-02,-1.577010e-02,3.637628e-02
37,5.478859e-02,-1.593440e-02,-1.577004e-02,3.618216e-02
38,5.439377e-02,-1.593315e-02,-1.576996e-02,3.600709e-02
39,5.381573e-02,-1.593135e-02,-1.576990e-02,3.584945e-02
40,5.311859e-02,-1.592919e-02,-1.576984e-02,3.570683e-02
41,5.236623e-02,-1.592687e-02,-1.576978e-02,3.557625e-02
42,5.161967e-02,-1.592458e-02,-1.576972e-02,3.545451e-02
43,5.093470e-02,-1.592247e-02,-1.576967e-02,3.533838e-02
44,5.035974e-02,-1.592071e-02,-1.576963e-02,3.522490e-02
45,4.993406e-02,-1.591939e-02,-1.576959e-02,3.511156e-02
