Density,Temp,Energy,HeatCapCv,Pressure
6.000000e-01,1.021201e-01,-6.298309e+00,2.522166e+00,-5.115133e-01
6.000000e-01,1.025520e-01,-6.300142e+00,3.123608e+00,-4.661839e-01
6.000000e-01,1.026649e-01,-6.298821e+00,2.452787e+00,-4.962778e-01
6.000000e-01,1.034039e-01,-6.300318e+00,2.634671e+00,-4.464631e-01
6.000000e-01,1.034952e-01,-6.301446e+00,2.522886e+00,-4.333484e-01
6.000000e-01,4.945591e-01,-4.517109e+00,2.098146e+00,-2.108539e-01
6.000000e-01,4.982233e-01,-4.514910e+00,2.834537e+00,-2.957574e-01
6.000000e-01,4.991396e-01,-4.519753e+00,2.049932e+00,-1.978940e-01
6.000000e-01,5.021900e-01,-4.518247e+00,3.128885e+00,-2.344164e-01
6.000000e-01,5.056057e-01,-4.525765e+00,1.855010e+00,-1.111085e-01
6.000000e-01,9.066984e-01,-2.716546e+00,2.214015e+00,1.749617e-01
6.000000e-01,9.112974e-01,-2.715894e+00,1.863790e+00,1.226778e-01
6.000000e-01,8.805784e-01,-2.711310e+00,2.175597e+00,1.481793e-01
6.000000e-01,9.100826e-01,-2.712673e+00,2.653927e+00,9.969857e-02
6.000000e-01,8.885960e-01,-2.708331e+00,1.990927e+00,4.749779e-02
8.000000e-01,1.005965e-01,-6.959550e+00,2.615617e+00,-1.408658e+00
8.000000e-01,1.006938e-01,-6.959895e+00,2.537738e+00,-1.421633e+00
8.000000e-01,9.997166e-02,-6.961335e+00,2.378456e+00,-1.395514e+00
8.000000e-01,1.002670e-01,-6.958498e+00,6.397197e+00,-1.460949e+00
8.000000e-01,1.007231e-01,-6.960671e+00,3.260396e+00,-1.403410e+00
8.000000e-01,4.728758e-01,-5.073466e+00,2.692375e+00,-6.710539e-01
8.000000e-01,4.733901e-01,-5.073420e+00,1.748274e+00,-6.764131e-01
8.000000e-01,4.764995e-01,-5.073676e+00,2.370118e+00,-7.351456e-01
8.000000e-01,4.733388e-01,-5.072981e+00,2.207164e+00,-6.767137e-01
8.000000e-01,4.742754e-01,-5.073104e+00,2.352812e+00,-6.964012e-01
8.000000e-01,9.308414e-01,-3.922467e+00,2.948757e+00,1.852156e+00
8.000000e-01,9.277470e-01,-3.922327e+00,1.900263e+00,1.882786e+00
8.000000e-01,9.291454e-01,-3.923141e+00,2.228586e+00,1.876309e+00
8.000000e-01,9.251312e-01,-3.922236e+00,2.297829e+00,1.890901e+00
8.000000e-01,9.252438e-01,-3.922399e+00,2.509715e+00,1.891430e+00
1.000000e+00,1.001579e-01,-7.740143e+00,2.510168e+00,-1.853640e+00
1.000000e+00,9.978206e-02,-7.740237e+00,6.299790e+00,-1.849255e+00
1.000000e+00,1.000022e-01,-7.740275e+00,3.286693e+00,-1.852492e+00
1.000000e+00,9.993462e-02,-7.740393e+00,2.564568e+00,-1.853282e+00
1.000000e+00,9.982747e-02,-7.740448e+00,5.987079e+00,-1.853674e+00
1.000000e+00,4.839370e-01,-6.653110e+00,2.266079e+01,1.408663e+00
1.000000e+00,4.822059e-01,-6.653720e+00,2.885708e+00,1.430908e+00
1.000000e+00,4.804792e-01,-6.653588e+00,3.955982e+00,1.439645e+00
1.000000e+00,4.828118e-01,-6.653648e+00,3.271548e+00,1.424971e+00
1.000000e+00,4.824915e-01,-6.653610e+00,4.419864e+00,1.422092e+00
1.000000e+00,8.626533e-01,-5.599033e+00,2.450434e+00,4.438286e+00
1.000000e+00,8.613506e-01,-5.599219e+00,2.400717e+00,4.428697e+00
1.000000e+00,8.629396e-01,-5.599031e+00,2.208233e+00,4.427276e+00
1.000000e+00,8.650175e-01,-5.598515e+00,2.514145e+00,4.409602e+00
1.000000e+00,8.650298e-01,-5.598999e+00,2.866800e+00,4.407498e+00
